msync: bootstrapped mach port on wine-3d4b435-msync.
00c8:fixme:imm:ImeSetActiveContext (0000000000010026, 0): stub
00c8:fixme:imm:ImmReleaseContext (0000000000010020, 0000000000010026): stub
00c0:fixme:wbemprox:client_security_SetBlanket 00000001ED4A0EE0, 00000000010F5960, 10, 0, (null), 3, 3, 0000000000000000, 0
00c0:fixme:wbemprox:client_security_Release 00000001ED4A0EE0
00c0:fixme:wbemprox:wbem_services_CreateInstanceEnum unsupported flags 0x30
00c0:fixme:wbemprox:wbem_services_CreateInstanceEnum unsupported flags 0x30
00c0:fixme:wbemprox:wbem_services_CreateInstanceEnum unsupported flags 0x30
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\POWRPROF.dll" at 0000000284EA0000: builtin
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\MHYPBase.dll" at 000000000CD50000: native
00c0:fixme:ntdll:NtQuerySystemInformation SystemCodeIntegrityInformation, size 8, info 0x11e348, stub!
01dc:err:service:validate_context_handle Access denied - handle created with access 34, needed 10000
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\winedevice.exe" at 0000000140000000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernelbase.dll" at 0000000174000000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernel32.dll" at 0000000178000000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msvcrt.dll" at 0000000228280000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ucrtbase.dll" at 00000002C7470000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\sechost.dll" at 00000001EAF60000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\advapi32.dll" at 00000001D8C90000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ntoskrnl.exe" at 000000031CA90000: builtin
01e8:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rpcrt4.dll" at 0000000368420000: builtin
01f4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\HAL.DLL" at 00000002C3510000: builtin
01f4:err:module:import_dll Library WDFLDR.SYS (which is needed by L"C:\\windows\\system32\\HoYoKProtect.sys") not found
01f4:err:ntoskrnl:ZwLoadDriver failed to create driver L"\\Registry\\Machine\\System\\CurrentControlSet\\Services\\HoYoProtect": c0000142
021c:fixme:thread:NtQueryInformationThread info class 20 not supported yet
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\DINPUT8.dll" at 0000000267710000: builtin
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\Mmoron.dll" at 00000000146D0000: native
00c0:fixme:thread:set_native_thread_name setting other thread name not supported
0258:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\mmdevapi.dll" at 000000000C870000: builtin
0258:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\winecoreaudio.drv" at 00000002B0260000: builtin
0258:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
